ID,Category,Pos_b,Pos_e,Privacy
1124,address,34,36,好莱坞
1124,movie,3,7,《钢铁侠》
1124,book,44,49,《娱乐周刊》
1124,name,21,27,小罗伯特-唐尼
1124,address,50,52,南普陀
1124,address,63,65,安陆县
1124,position,74,75,翰林
1124,organization,93,95,佛罗伦
1124,organization,113,114,拜仁
1124,organization,129,130,里昂
1124,scene,157,160,盖蒂中心
1124,organization,180,183,visa
1124,organization,185,187,万事达
1124,company,201,204,中国银联
1124,government,211,223,印度报业托拉斯援引印国防部
1124,company,257,258,招行
1124,company,260,261,浦发
1124,company,263,264,民生
1124,company,266,267,交行
1124,game,302,305,DotA
